DATE,UNRATE,Year,Month,Year-month
31/12/1947,3.4,1947,Dec,1947-Dec
31/12/1948,4.3,1948,Dec,1948-Dec
31/12/1949,6.5,1949,Dec,1949-Dec
31/12/1950,3.7,1950,Dec,1950-Dec
31/12/1951,3.2,1951,Dec,1951-Dec
31/12/1952,2.9,1952,Dec,1952-Dec
31/12/1953,4.9,1953,Dec,1953-Dec
31/12/1954,4.9,1954,Dec,1954-Dec
31/12/1955,4,1955,Dec,1955-Dec
31/12/1956,4.2,1956,Dec,1956-Dec
31/12/1957,5.8,1957,Dec,1957-Dec
31/12/1958,6,1958,Dec,1958-Dec
31/12/1959,5.2,1959,Dec,1959-Dec
31/12/1960,6.6,1960,Dec,1960-Dec
31/12/1961,5.8,1961,Dec,1961-Dec
31/12/1962,5.7,1962,Dec,1962-Dec
31/12/1963,5.6,1963,Dec,1963-Dec
31/12/1964,4.9,1964,Dec,1964-Dec
31/12/1965,4,1965,Dec,1965-Dec
31/12/1966,3.9,1966,Dec,1966-Dec
31/12/1967,3.7,1967,Dec,1967-Dec
31/12/1968,3.4,1968,Dec,1968-Dec
31/12/1969,3.9,1969,Dec,1969-Dec
31/12/1970,5.9,1970,Dec,1970-Dec
31/12/1971,5.8,1971,Dec,1971-Dec
31/12/1972,4.9,1972,Dec,1972-Dec
31/12/1973,5.1,1973,Dec,1973-Dec
31/12/1974,8.1,1974,Dec,1974-Dec
31/12/1975,7.9,1975,Dec,1975-Dec
31/12/1976,7.5,1976,Dec,1976-Dec
31/12/1977,6.4,1977,Dec,1977-Dec
31/12/1978,5.9,1978,Dec,1978-Dec
31/12/1979,6.3,1979,Dec,1979-Dec
31/12/1980,7.5,1980,Dec,1980-Dec
31/12/1981,8.6,1981,Dec,1981-Dec
31/12/1982,10.4,1982,Dec,1982-Dec
31/12/1983,8,1983,Dec,1983-Dec
31/12/1984,7.3,1984,Dec,1984-Dec
31/12/1985,6.7,1985,Dec,1985-Dec
31/12/1986,6.6,1986,Dec,1986-Dec
31/12/1987,5.7,1987,Dec,1987-Dec
31/12/1988,5.4,1988,Dec,1988-Dec
31/12/1989,5.4,1989,Dec,1989-Dec
31/12/1990,6.4,1990,Dec,1990-Dec
31/12/1991,7.3,1991,Dec,1991-Dec
31/12/1992,7.3,1992,Dec,1992-Dec
31/12/1993,6.6,1993,Dec,1993-Dec
31/12/1994,5.6,1994,Dec,1994-Dec
31/12/1995,5.6,1995,Dec,1995-Dec
31/12/1996,5.3,1996,Dec,1996-Dec
31/12/1997,4.6,1997,Dec,1997-Dec
31/12/1998,4.3,1998,Dec,1998-Dec
31/12/1999,4,1999,Dec,1999-Dec
31/12/2000,4.2,2000,Dec,2000-Dec
31/12/2001,5.7,2001,Dec,2001-Dec
31/12/2002,5.8,2002,Dec,2002-Dec
31/12/2003,5.7,2003,Dec,2003-Dec
31/12/2004,5.3,2004,Dec,2004-Dec
31/12/2005,4.7,2005,Dec,2005-Dec
31/12/2006,4.6,2006,Dec,2006-Dec
31/12/2007,5,2007,Dec,2007-Dec
31/12/2008,7.8,2008,Dec,2008-Dec
31/12/2009,9.8,2009,Dec,2009-Dec
31/12/2010,9.1,2010,Dec,2010-Dec
31/12/2011,8.3,2011,Dec,2011-Dec
31/12/2012,8,2012,Dec,2012-Dec
31/12/2013,6.6,2013,Dec,2013-Dec
31/12/2014,5.7,2014,Dec,2014-Dec
31/12/2015,4.8,2015,Dec,2015-Dec
31/12/2016,4.7,2016,Dec,2016-Dec
31/12/2017,4,2017,Dec,2017-Dec
